Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,elevation_zone,near_threshold,distance_to_nearest_threshold,chaos_amplification_factor,aspect_sin,aspect_cos,Soil_Type13,Soil_Type3,Soil_Type6,Soil_Group_Other,Soil_Type2,Soil_Group_Organic,Soil_Type30,Soil_Type29,Soil_Type33,Soil_Type10,Soil_Type12,Soil_Group_Rocky,Soil_Group_Sandy,Soil_Group_Clay,Soil_Type23,Soil_Type1,Soil_Type17,Cover_Type
25,2507,22,9,120,14,732,215,221,143,5534,1,0,0,0,Montane,False,107.0,1.0,0.374606593415912,0.9271838545667874,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
26,2492,135,6,0,0,860,229,237,142,5494,1,0,0,0,Montane,False,92.0,1.0,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
27,2489,163,10,30,-4,849,230,243,145,5486,1,0,0,0,Montane,False,89.0,1.0,0.2923717047227366,-0.9563047559630355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
28,2962,148,16,323,23,5916,240,236,120,3395,1,0,0,0,Subalpine,False,162.0,1.0,0.5299192642332049,-0.848048096156426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
29,2811,135,1,212,30,3670,220,238,154,5643,1,0,0,0,Subalpine,True,11.0,2.0,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
30,2739,117,24,127,53,3281,253,210,71,6033,1,0,0,0,Montane,False,61.0,1.0,0.8910065241883679,-0.45399049973954675,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
31,2703,122,30,67,27,3191,254,201,52,6123,1,0,0,0,Montane,False,97.0,1.0,0.8480480961564261,-0.5299192642332048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
32,2522,105,7,120,1,595,233,231,130,5569,1,0,0,0,Montane,False,122.0,1.0,0.9659258262890683,-0.25881904510252085,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
33,2519,102,6,124,4,616,230,233,137,5559,1,0,0,0,Montane,False,119.0,1.0,0.9781476007338057,-0.20791169081775934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
34,2516,23,6,150,4,658,216,227,147,5541,1,0,0,0,Montane,False,116.0,1.0,0.39073112848927377,0.9205048534524404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
35,2515,41,9,162,4,680,221,220,133,5532,1,0,0,0,Montane,False,115.0,1.0,0.6560590289905073,0.754709580222772,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
36,2900,45,19,242,20,5199,221,195,100,4115,1,0,0,0,Subalpine,False,100.0,1.0,0.7071067811865476,0.7071067811865476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
37,2709,125,28,67,23,3224,253,207,61,6094,1,0,0,0,Montane,False,91.0,1.0,0.8191520442889917,-0.5735764363510462,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
38,2511,92,7,182,18,722,231,229,131,5494,1,0,0,0,Montane,False,111.0,1.0,0.9993908270190958,-0.034899496702500955,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
39,2749,98,30,124,53,3316,252,183,36,6005,1,0,0,0,Montane,False,51.0,1.0,0.9902680687415704,-0.13917310096006535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
40,2686,354,12,0,0,3167,200,219,157,6155,1,0,0,0,Montane,False,114.0,1.0,-0.10452846326765342,0.9945218953682733,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
41,2699,347,3,0,0,2096,213,234,159,6853,1,0,0,0,Montane,False,101.0,1.0,-0.22495105434386534,0.9743700647852351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,2570,346,2,0,0,331,215,235,158,5745,1,0,0,0,Montane,False,170.0,1.0,-0.24192189559966787,0.9702957262759965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
43,2533,71,9,150,-3,577,230,223,126,5552,1,0,0,0,Montane,False,133.0,1.0,0.9455185755993167,0.32556815445715676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
44,2703,330,27,30,17,3141,146,197,184,6186,1,0,0,0,Montane,False,97.0,1.0,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
45,2678,128,5,95,23,1660,229,236,141,6546,1,0,0,0,Montane,False,122.0,1.0,0.788010753606722,-0.6156614753256583,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
46,2529,68,8,210,-5,666,228,225,130,5484,1,0,0,0,Montane,False,129.0,1.0,0.9271838545667874,0.37460659341591196,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
47,2524,94,7,212,-4,684,232,229,130,5474,1,0,0,0,Montane,False,124.0,1.0,0.9975640502598242,-0.06975647374412533,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
48,2536,99,6,234,0,659,230,232,136,5475,1,0,0,0,Montane,False,136.0,1.0,0.9876883405951378,-0.1564344650402308,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
49,2498,66,6,95,7,900,227,227,135,5357,1,0,0,0,Montane,False,98.0,1.0,0.9135454576426009,0.4067366430758002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
50,2489,100,7,85,13,810,232,231,131,5334,1,0,0,0,Montane,False,89.0,1.0,0.984807753012208,-0.1736481776669303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
51,2713,117,30,60,17,3297,254,198,48,6039,1,0,0,0,Montane,False,87.0,1.0,0.8910065241883679,-0.45399049973954675,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
52,2739,323,25,85,43,3118,149,205,192,6219,1,0,0,0,Montane,False,61.0,1.0,-0.6018150231520483,0.7986355100472928,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
53,2696,72,2,30,0,3271,222,234,149,6071,1,0,0,0,Montane,False,104.0,1.0,0.9510565162951535,0.30901699437494745,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
54,2510,79,14,192,19,891,237,215,106,5325,1,0,0,0,Montane,False,110.0,1.0,0.981627183447664,0.19080899537654492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
55,2502,81,7,175,11,912,230,227,129,5316,1,0,0,0,Montane,False,102.0,1.0,0.9876883405951378,0.15643446504023092,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
56,2722,315,24,30,19,3216,148,212,200,6132,1,0,0,0,Montane,False,78.0,1.0,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
57,2500,74,11,190,9,930,233,219,116,5279,1,0,0,0,Montane,False,100.0,1.0,0.9612616959383189,0.27563735581699916,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
58,2486,68,5,180,-4,870,225,230,139,5262,1,0,0,0,Montane,False,86.0,1.0,0.9271838545667874,0.37460659341591196,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
59,2489,11,4,175,13,840,216,232,153,5254,1,0,0,0,Montane,False,89.0,1.0,0.1908089953765448,0.981627183447664,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
60,2489,42,6,162,13,810,221,227,141,5247,1,0,0,0,Montane,False,89.0,1.0,0.6691306063588582,0.7431448254773942,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
61,2490,75,5,134,17,810,227,230,137,5218,1,0,0,0,Montane,False,90.0,1.0,0.9659258262890683,0.25881904510252074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
62,2952,107,11,42,7,5845,239,226,116,3509,1,0,0,0,Subalpine,False,152.0,1.0,0.9563047559630355,-0.29237170472273666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
63,2705,90,8,134,22,2023,232,228,129,6615,1,0,0,0,Montane,False,95.0,1.0,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
64,2507,40,7,153,10,930,221,224,138,5221,1,0,0,0,Montane,False,107.0,1.0,0.6427876096865393,0.766044443118978,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
65,2500,49,14,150,27,870,225,210,116,5205,1,0,0,0,Montane,False,100.0,1.0,0.754709580222772,0.6560590289905073,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
66,2493,63,10,127,20,840,229,221,124,5197,1,0,0,0,Montane,False,93.0,1.0,0.8910065241883678,0.4539904997395468,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
67,2509,59,7,134,10,900,226,226,134,5184,1,0,0,0,Montane,False,109.0,1.0,0.8571673007021123,0.5150380749100542,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
68,2919,13,13,90,6,5321,207,214,142,4060,1,0,0,0,Subalpine,False,119.0,1.0,0.224951054343865,0.9743700647852352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,2740,54,6,218,42,2287,224,227,138,6686,1,0,0,0,Montane,False,60.0,1.0,0.8090169943749475,0.5877852522924731,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
70,2640,80,8,180,-2,1092,231,225,127,5866,1,0,0,0,Montane,False,160.0,1.0,0.984807753012208,0.17364817766693041,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
71,2843,166,12,242,53,4434,230,244,144,4956,1,0,0,0,Subalpine,True,43.0,2.0,0.24192189559966773,-0.9702957262759965,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
72,3008,45,14,277,10,6371,223,208,116,3036,1,0,0,0,Subalpine,False,192.0,1.0,0.7071067811865476,0.7071067811865476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
73,2893,114,16,108,30,5066,245,223,102,4340,1,0,0,0,Subalpine,False,93.0,1.0,0.9135454576426009,-0.40673664307580026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
74,2850,6,9,0,0,4858,210,223,151,4548,1,0,0,0,Subalpine,True,50.0,2.0,0.10452846326765347,0.9945218953682733,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
75,2628,30,10,240,19,960,217,218,136,5645,1,0,0,0,Montane,False,172.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
76,2864,118,18,201,74,4567,248,221,93,4849,1,0,0,0,Subalpine,False,64.0,1.0,0.8829475928589269,-0.4694715627858909,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
77,2827,160,28,134,65,3948,235,233,108,5474,1,0,0,0,Subalpine,True,27.0,2.0,0.3420201433256689,-0.9396926207859083,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
78,2529,326,5,30,14,1062,207,234,166,5047,1,0,0,0,Montane,False,129.0,1.0,-0.5591929034707466,0.8290375725550418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
79,2808,99,7,382,95,3107,233,230,130,6341,1,0,0,0,Subalpine,True,8.0,2.0,0.9876883405951378,-0.1564344650402308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
80,2840,153,26,134,42,4613,241,231,102,4833,1,0,0,0,Subalpine,True,40.0,2.0,0.45399049973954686,-0.8910065241883678,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
81,2795,79,10,531,96,2980,233,223,121,6497,1,0,0,0,Montane,True,5.0,2.0,0.981627183447664,0.19080899537654492,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
82,2746,143,16,67,22,2440,241,235,119,6597,1,0,0,0,Montane,False,54.0,1.0,0.6018150231520482,-0.7986355100472929,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
83,2847,352,26,150,82,3697,166,187,152,5796,1,0,0,0,Subalpine,True,47.0,2.0,-0.13917310096006588,0.9902680687415703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
84,2840,14,14,216,88,3552,206,210,140,5944,1,0,0,0,Subalpine,True,40.0,2.0,0.24192189559966773,0.9702957262759965,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85,2537,42,7,210,17,1132,222,224,137,4919,1,0,0,0,Montane,False,137.0,1.0,0.6691306063588582,0.7431448254773942,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
86,2860,358,17,175,98,3705,191,206,151,5800,1,0,0,0,Subalpine,False,60.0,1.0,-0.034899496702500823,0.9993908270190958,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
87,2818,332,26,30,17,4526,151,197,181,4978,1,0,0,0,Subalpine,True,18.0,2.0,-0.4694715627858908,0.882947592858927,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
88,2801,18,7,560,58,3084,215,226,148,6457,1,0,0,0,Subalpine,True,1.0,2.0,0.3090169943749474,0.9510565162951535,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
89,2791,63,10,418,48,2942,229,221,124,6606,1,0,0,0,Montane,True,9.0,2.0,0.8910065241883678,0.4539904997395468,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
90,2745,306,11,67,24,2416,190,234,184,6428,1,0,0,0,Montane,False,55.0,1.0,-0.8090169943749476,0.5877852522924729,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
91,2514,102,6,272,-5,1082,230,233,137,4811,1,0,0,0,Montane,False,114.0,1.0,0.9781476007338057,-0.20791169081775934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
92,2788,13,16,30,8,4126,203,206,137,5396,1,0,0,0,Montane,True,12.0,2.0,0.224951054343865,0.9743700647852352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
93,2562,354,12,67,9,1057,200,218,156,5031,1,0,0,0,Montane,False,162.0,1.0,-0.10452846326765342,0.9945218953682733,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
94,3073,173,12,108,-3,6836,227,246,149,2735,1,0,0,0,Subalpine,False,127.0,1.0,0.12186934340514755,-0.992546151641322,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
95,2978,71,10,426,85,5742,231,221,121,3792,1,0,0,0,Subalpine,False,178.0,1.0,0.9455185755993167,0.32556815445715676,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
96,2860,31,10,295,98,3644,218,218,135,5904,1,0,0,0,Subalpine,False,60.0,1.0,0.5150380749100542,0.8571673007021123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
97,3067,164,11,85,7,6811,230,243,144,2774,1,0,0,0,Subalpine,False,133.0,1.0,0.2756373558169992,-0.9612616959383189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
98,2804,72,5,543,61,3115,225,231,141,6471,1,0,0,0,Subalpine,True,4.0,2.0,0.9510565162951535,0.30901699437494745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
99,2562,59,3,0,0,1116,221,233,148,5091,1,0,0,0,Montane,False,162.0,1.0,0.8571673007021123,0.5150380749100542,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
100,2567,34,9,190,16,1136,219,221,138,4924,1,0,0,0,Montane,False,167.0,1.0,0.5591929034707469,0.8290375725550417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
101,2998,45,8,351,16,5842,223,222,134,3721,1,0,0,0,Subalpine,False,198.0,1.0,0.7071067811865476,0.7071067811865476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
102,2684,84,12,150,2,1677,237,220,113,5693,1,0,0,0,Montane,False,116.0,1.0,0.9945218953682733,0.10452846326765346,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
103,2676,42,11,150,-5,1634,222,216,128,5655,1,0,0,0,Montane,False,124.0,1.0,0.6691306063588582,0.7431448254773942,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
104,2863,102,15,190,71,4389,244,219,100,5184,1,0,0,0,Subalpine,False,63.0,1.0,0.9781476007338057,-0.20791169081775934,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
105,2574,170,5,170,23,1180,224,242,153,4910,1,0,0,0,Montane,False,174.0,1.0,0.17364817766693028,-0.984807753012208,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
106,2511,211,6,162,30,1071,216,245,166,4660,1,0,0,0,Montane,False,111.0,1.0,-0.5150380749100542,-0.8571673007021123,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
107,3067,32,4,30,-2,6679,219,230,147,2947,1,0,0,0,Subalpine,False,133.0,1.0,0.5299192642332049,0.848048096156426,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
108,2909,57,16,134,23,5502,229,203,102,4084,1,0,0,0,Subalpine,False,109.0,1.0,0.838670567945424,0.5446390350150271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
109,2863,348,14,309,89,3918,193,216,161,5695,1,0,0,0,Subalpine,False,63.0,1.0,-0.20791169081775987,0.9781476007338056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
110,2567,333,1,0,0,1266,216,237,158,5079,1,0,0,0,Montane,False,167.0,1.0,-0.45399049973954697,0.8910065241883678,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
111,3182,105,11,408,33,6000,240,226,115,1184,1,0,0,0,Subalpine,True,18.0,2.0,0.9659258262890683,-0.25881904510252085,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
112,2818,324,12,242,26,4156,189,227,177,5467,1,0,0,0,Subalpine,True,18.0,2.0,-0.5877852522924734,0.8090169943749473,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
113,2752,332,6,342,24,2372,207,233,165,6131,1,0,0,0,Montane,True,48.0,2.0,-0.4694715627858908,0.882947592858927,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
114,2751,88,5,400,30,2322,228,231,137,6088,1,0,0,0,Montane,True,49.0,2.0,0.9993908270190958,0.03489949670250108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
115,2569,102,7,228,18,1266,232,231,132,4844,1,0,0,0,Montane,False,169.0,1.0,0.9781476007338057,-0.20791169081775934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
116,3195,111,15,469,46,5941,245,222,101,1206,1,0,0,0,Subalpine,True,5.0,2.0,0.9335804264972017,-0.35836794954530027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
117,2982,53,14,240,63,5756,227,209,112,3880,1,0,0,0,Subalpine,False,182.0,1.0,0.7986355100472928,0.6018150231520484,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
118,2850,58,6,295,58,4394,225,227,137,5239,1,0,0,0,Subalpine,True,50.0,2.0,0.8480480961564261,0.5299192642332049,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
119,2586,76,4,190,30,1290,225,232,143,4875,1,0,0,0,Montane,False,186.0,1.0,0.9702957262759965,0.24192189559966767,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
120,2837,17,13,330,45,4241,208,211,138,5428,1,0,0,0,Subalpine,True,37.0,2.0,0.29237170472273677,0.9563047559630354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
121,2723,99,6,301,34,2109,230,232,136,5793,1,0,0,0,Montane,False,77.0,1.0,0.9876883405951378,-0.1564344650402308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
122,3070,0,11,30,-6,6890,204,220,153,2858,1,0,0,0,Subalpine,False,130.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
123,3057,124,12,150,53,6508,240,231,118,3211,1,0,0,0,Subalpine,False,143.0,1.0,0.8290375725550417,-0.5591929034707467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
124,2818,119,19,30,10,5213,248,220,92,4497,1,0,0,0,Subalpine,True,18.0,2.0,0.8746197071393959,-0.484809620246337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
125,2847,320,33,85,39,4983,120,190,199,4727,1,0,0,0,Subalpine,True,47.0,2.0,-0.6427876096865396,0.7660444431189778,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
126,2606,112,11,30,4,1584,239,228,119,5106,1,0,0,0,Montane,False,194.0,1.0,0.9271838545667874,-0.37460659341591207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
127,2893,83,6,551,101,4011,229,230,135,5755,1,0,0,0,Subalpine,False,93.0,1.0,0.992546151641322,0.12186934340514749,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
128,2716,1,10,234,27,2100,206,222,153,5581,1,0,0,0,Montane,False,84.0,1.0,0.01745240643728351,0.9998476951563913,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
129,2644,125,20,67,25,1719,249,221,90,5168,1,0,0,0,Montane,False,156.0,1.0,0.8191520442889917,-0.5735764363510462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
130,2613,37,5,216,34,1519,220,229,146,4818,1,0,0,0,Montane,False,187.0,1.0,0.6018150231520483,0.7986355100472928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
